Tyè 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416,6542933;0,00569044;;585,8316491;4,8828125;0,004882813;;538,7816092;0,005311615;;;;;;;;;;;;;;;;;;;;;;;
430,7683663;0,01138088;;586,0232491;9,765625;0,009765625;;538,7732807;0,010623229;;;;;;;;;;;;;;;;;;;;;;;
460,8154318;0,01707132;;585,9071891;14,6484375;0,014648438;;534,8159443;0,015934844;;;;;;;;;;;;;;;;;;;;;;;
499,5614073;0,02276176;;585,7315098;19,53125;0,01953125;;534,3530214;0,021246459;;;;;;;;;;;;;;;;;;;;;;;
515,1197887;0,0284522;;585,7046676;24,4140625;0,024414063;;534,1857559;0,026558074;;;;;;;;;;;;;;;;;;;;;;;
524,5048931;0,03414264;;590,2104316;29,296875;0,029296875;;537,699286;0,031869688;;;;;;;;;;;;;;;;;;;;;;;
531,3410081;0,03983308;;590,2430508;34,1796875;0,034179688;;537,5339727;0,037181303;;;;;;;;;;;;;;;;;;;;;;;
535,9338077;0,04552352;;590,4263015;39,0625;0,0390625;;533,4704985;0,042492918;;;;;;;;;;;;;;;;;;;;;;;
540,0436403;0,051213961;;590,3355375;43,9453125;0,043945313;;533,4960432;0,047804533;;;;;;;;;;;;;;;;;;;;;;;
543,1776648;0,056904401;;590,0412589;48,828125;0,048828125;;533,5946423;0,053116147;;;;;;;;;;;;;;;;;;;;;;;
545,6976644;0,062594841;;590,0308052;53,7109375;0,053710938;;534,1713938;0,058427762;;;;;;;;;;;;;;;;;;;;;;;
547,7955218;0,068285281;;590,2640723;58,59375;0,05859375;;534,71035;0,063739377;;;;;;;;;;;;;;;;;;;;;;;
549,2791217;0,073975721;;590,3972663;63,4765625;0,063476563;;535,0066827;0,069050992;;;;;;;;;;;;;;;;;;;;;;;
549,9361486;0,079666161;;590,8547297;68,359375;0,068359375;;535,0480494;0,074362606;;;;;;;;;;;;;;;;;;;;;;;
550,9749592;0,085356601;;591,5405155;73,2421875;0,073242188;;535,2372608;0,079674221;;;;;;;;;;;;;;;;;;;;;;;
551,5045901;0,091047041;;591,7530913;78,125;0,078125;;535,1095703;0,084985836;;;;;;;;;;;;;;;;;;;;;;;
552,2196176;0,096737481;;587,2392139;83,0078125;0,083007813;;535,0701991;0,09029745;;;;;;;;;;;;;;;;;;;;;;;
552,7259135;0,102427921;;587,2489075;87,890625;0,087890625;;535,5415127;0,095609065;;;;;;;;;;;;;;;;;;;;;;;
553,4622661;0,108118361;;586,5480567;92,7734375;0,092773438;;535,8524091;0,10092068;;;;;;;;;;;;;;;;;;;;;;;
554,2214236;0,113808801;;586,2235848;97,65625;0,09765625;;536,066389;0,106232295;;;;;;;;;;;;;;;;;;;;;;;
554,4233798;0,119499241;;585,8555813;102,5390625;0,102539063;;535,947866;0,111543909;;;;;;;;;;;;;;;;;;;;;;;
554,6596812;0,125189681;;586,1356346;107,421875;0,107421875;;536,1013517;0,116855524;;;;;;;;;;;;;;;;;;;;;;;
554,9195287;0,130880121;;585,9282799;112,3046875;0,112304688;;535,9682585;0,122167139;;;;;;;;;;;;;;;;;;;;;;;
551,5816278;0,136570561;;585,7332198;117,1875;0,1171875;;535,9499096;0,127478754;;;;;;;;;;;;;;;;;;;;;;;
551,9486678;0,142261002;;585,414649;122,0703125;0,122070313;;539,8297034;0,132790368;;;;;;;;;;;;;;;;;;;;;;;
552,3208624;0,147951442;;585,3341202;126,953125;0,126953125;;540,0451161;0,138101983;;;;;;;;;;;;;;;;;;;;;;;
553,0755621;0,153641882;;585,5784965;131,8359375;0,131835938;;540,03781;0,143413598;;;;;;;;;;;;;;;;;;;;;;;
553,7390591;0,159332322;;584,7802944;136,71875;0,13671875;;540,0538083;0,148725212;;;;;;;;;;;;;;;;;;;;;;;
554,2885029;0,165022762;;589,0391442;141,6015625;0,141601563;;540,205672;0,154036827;;;;;;;;;;;;;;;;;;;;;;;
554,4914894;0,170713202;;588,7139816;146,484375;0,146484375;;540,0777823;0,159348442;;;;;;;;;;;;;;;;;;;;;;;
555,0622133;0,176403642;;588,6533993;151,3671875;0,151367188;;540,2641943;0,164660057;;;;;;;;;;;;;;;;;;;;;;;
555,4677746;0,182094082;;588,7468633;156,25;0,15625;;540,8416017;0,169971671;;;;;;;;;;;;;;;;;;;;;;;
556,1374371;0,187784522;;588,9432191;161,1328125;0,161132813;;540,7737382;0,175283286;;;;;;;;;;;;;;;;;;;;;;;
556,5696392;0,193474962;;588,8380435;166,015625;0,166015625;;540,771985;0,180594901;;;;;;;;;;;;;;;;;;;;;;;
557,3595011;0,199165402;;589,0615404;170,8984375;0,170898438;;540,7177468;0,185906516;;;;;;;;;;;;;;;;;;;;;;;
557,4671713;0,204855842;;589,4029983;175,78125;0,17578125;;540,7548527;0,19121813;;;;;;;;;;;;;;;;;;;;;;;
557,3207328;0,210546282;;589,6055693;180,6640625;0,180664063;;541,1487141;0,196529745;;;;;;;;;;;;;;;;;;;;;;;
561,5216539;0,216236722;;585,0468552;185,546875;0,185546875;;541,0560514;0,20184136;;;;;;;;;;;;;;;;;;;;;;;
561,7030362;0,221927162;;584,8451708;190,4296875;0,190429688;;537,3185402;0,207152975;;;;;;;;;;;;;;;;;;;;;;;
562,3674853;0,227617602;;584,941309;195,3125;0,1953125;;537,5004709;0,212464589;;;;;;;;;;;;;;;;;;;;;;;
562,7722781;0,233308042;;584,8837976;200,1953125;0,200195313;;538,2608028;0,217776204;;;;;;;;;;;;;;;;;;;;;;;
559,4629935;0,238998483;;585,2937201;205,078125;0,205078125;;538,1098317;0,223087819;;;;;;;;;;;;;;;;;;;;;;;
559,8636668;0,244688923;;584,834739;209,9609375;0,209960938;;537,8361452;0,228399433;;;;;;;;;;;;;;;;;;;;;;;
560,2985553;0,250379363;;584,6518913;214,84375;0,21484375;;537,8829959;0,233711048;;;;;;;;;;;;;;;;;;;;;;;
560,8881877;0,256069803;;584,8242562;219,7265625;0,219726563;;537,5806898;0,239022663;;;;;;;;;;;;;;;;;;;;;;;
561,147457;0,261760243;;584,9943905;224,609375;0,224609375;;537,8845252;0,244334278;;;;;;;;;;;;;;;;;;;;;;;
